n,a,k,L,d
682,940,3,313,1
683,941,2,470,1
684,942,941,1,1
685,943,2,471,1
686,944,23,41,1
687,945,2,472,1
688,946,3,315,1
689,947,3,315,2
690,949,2,474,1
691,950,13,73,1
692,951,2,475,1
693,952,3,317,1
694,953,3,317,2
695,955,2,477,1
696,956,5,191,1
697,957,2,478,1
698,958,3,319,1
699,959,3,319,2
700,961,7,137,2
701,963,31,31,2
702,965,2,482,1
703,966,5,193,1
704,967,5,193,2
705,969,967,1,2
706,971,3,323,2
707,973,2,486,1
708,974,971,1,3
709,977,2,488,1
710,978,977,1,1
711,979,2,489,1
712,980,3,326,2
713,982,3,327,1
714,983,3,327,2
715,985,983,1,2
716,987,5,197,2
717,989,2,494,1
718,990,23,43,1
719,991,2,495,1
720,992,991,1,1
721,993,2,496,1
722,994,3,331,1
723,995,2,497,1
724,996,5,199,1
725,997,2,498,1
726,998,997,1,1
727,999,997,1,2
728,1001,2,500,1
729,1002,7,143,1
730,1003,2,501,1
731,1004,17,59,1
732,1005,2,502,1
733,1006,3,335,1
734,1007,3,335,2
735,1009,19,53,2
736,1011,2,505,1
737,1012,3,337,1
738,1013,2,506,1
739,1014,1013,1,1
740,1015,2,507,1
741,1016,5,203,1
742,1017,5,203,2
743,1019,2,509,1
744,1020,1019,1,1
745,1021,2,510,1
746,1022,1021,1,1
747,1023,1021,1,2
748,1025,2,512,1
749,1026,5,205,1
750,1027,2,513,1
751,1028,13,79,1
752,1029,2,514,1
753,1030,3,343,1
754,1031,2,515,1
755,1032,1031,1,1
756,1033,2,516,1
757,1034,1033,1,1
758,1035,1033,1,2
759,1037,2,518,1
760,1038,17,61,1
761,1039,17,61,2
762,1041,1039,1,2
763,1043,3,347,2
764,1045,2,522,1
765,1046,5,209,1
766,1047,5,209,2
767,1049,2,524,1
768,1050,1049,1,1
769,1051,2,525,1
770,1052,3,350,2
771,1054,3,351,1
772,1055,2,527,1
773,1056,5,211,1
774,1057,5,211,2
775,1059,2,529,1
776,1060,3,353,1
777,1061,2,530,1
778,1062,1061,1,1
779,1063,2,531,1
780,1064,1063,1,1
781,1065,1063,1,2
782,1067,2,533,1
783,1068,11,97,1
784,1069,2,534,1
785,1070,1069,1,1
786,1071,1069,1,2
787,1073,2,536,1
788,1074,4,268,2
789,1076,5,215,1
790,1077,2,538,1
791,1078,3,359,1
792,1079,3,359,2
793,1081,13,83,2
794,1083,23,47,2
795,1085,2,542,1
796,1086,5,217,1
797,1087,19,57,4
798,1091,3,363,2
799,1093,2,546,1
800,1094,1093,1,1
801,1095,1093,1,2
802,1097,3,365,2
803,1099,1097,1,2
804,1101,2,550,1
805,1102,3,367,1
806,1103,3,367,2
807,1105,2,552,1
808,1106,5,221,1
809,1107,5,221,2
810,1109,2,554,1
811,1110,1109,1,1
812,1111,1109,1,2
813,1113,11,101,2
814,1115,3,371,2
815,1117,2,558,1
816,1118,1117,1,1
817,1119,2,559,1
818,1120,3,373,1
819,1121,2,560,1
820,1122,19,59,1
821,1123,2,561,1
822,1124,1123,1,1
823,1125,2,562,1
824,1126,3,375,1
825,1127,2,563,1
826,1128,7,161,1
827,1129,7,161,2
828,1131,1129,1,2
829,1133,3,377,2
830,1135,11,103,2
831,1137,5,227,2
832,1139,2,569,1
833,1140,17,67,1
834,1141,2,570,1
835,1142,17,67,3
836,1145,2,572,1
837,1146,5,229,1
838,1147,2,573,1
839,1148,31,37,1
840,1149,2,574,1
841,1150,3,383,1
842,1151,3,383,2
843,1153,1151,1,2
844,1155,1153,1,2
845,1157,2,578,1
846,1158,13,89,1
847,1159,13,89,2
848,1161,2,580,1
849,1162,3,387,1
850,1163,3,387,2
851,1165,2,582,1
852,1166,5,233,1
853,1167,5,233,2
854,1169,3,389,2
855,1171,2,585,1
856,1172,1171,1,1
857,1173,2,586,1
858,1174,3,391,1
859,1175,3,391,2
860,1177,2,588,1
861,1178,11,107,1
862,1179,2,589,1
863,1180,3,393,1
864,1181,2,590,1
865,1182,1181,1,1
866,1183,1181,1,2
867,1185,7,169,2
868,1187,2,593,1
869,1188,1187,1,1
870,1189,2,594,1
871,1190,29,41,1
872,1191,29,41,2
873,1193,2,596,1
874,1194,1193,1,1
875,1195,2,597,1
876,1196,3,398,2
877,1198,3,399,1
878,1199,3,399,2
879,1201,11,109,2
880,1203,1201,1,2
881,1205,2,602,1
882,1206,5,241,1
883,1207,2,603,1
884,1208,17,71,1
885,1209,17,71,2
886,1211,2,605,1
887,1212,7,173,1
888,1213,2,606,1
889,1214,1213,1,1
890,1215,1213,1,2
891,1217,2,608,1
892,1218,1217,1,1
893,1219,2,609,1
894,1220,23,53,1
895,1221,2,610,1
896,1222,3,407,1
897,1223,23,53,4
898,1227,5,245,2
899,1229,2,614,1
900,1230,1229,1,1
901,1231,1229,1,2
902,1233,1231,1,2
903,1235,3,411,2
904,1237,2,618,1
905,1238,1237,1,1
906,1239,2,619,1
907,1240,3,413,1
908,1241,2,620,1
909,1242,17,73,1
910,1243,2,621,1
911,1244,11,113,1
912,1245,2,622,1
913,1246,3,415,1
914,1247,2,623,1
915,1248,29,43,1
916,1249,5,249,4
