n;A032924;weight;level;jump
3136;148352;3;49450;2
3137;148354;3;49451;1
3138;148355;6;24725;5
3139;148360;3;49453;1
3140;148361;3;49453;2
3141;148363;2;74181;1
3142;148364;15;9890;14
3143;148378;3;49459;1
3144;148379;3;49459;2
3145;148381;2;74190;1
3146;148382;49459;3;5
3147;148387;2;74193;1
3148;148388;3;49462;2
3149;148390;3;49463;1
3150;148391;43;3450;41
3151;148432;3;49477;1
3152;148433;3;49477;2
3153;148435;2;74217;1
3154;148436;49477;3;5
3155;148441;2;74220;1
3156;148442;3;49480;2
3157;148444;3;49481;1
3158;148445;49477;3;14
3159;148459;2;74229;1
3160;148460;3;49486;2
3161;148462;3;49487;1
3162;148463;6;24743;5
3163;148468;3;49489;1
3164;148469;3;49489;2
3165;148471;2;74235;1
3166;148472;129;1150;122
3167;148594;3;49531;1
3168;148595;3;49531;2
3169;148597;2;74298;1
3170;148598;49531;3;5
3171;148603;2;74301;1
3172;148604;3;49534;2
3173;148606;3;49535;1
3174;148607;49531;3;14
3175;148621;2;74310;1
3176;148622;3;49540;2
3177;148624;3;49541;1
3178;148625;6;24770;5
3179;148630;3;49543;1
3180;148631;3;49543;2
3181;148633;2;74316;1
3182;148634;49531;3;41
3183;148675;2;74337;1
3184;148676;3;49558;2
3185;148678;3;49559;1
3186;148679;6;24779;5
3187;148684;3;49561;1
3188;148685;3;49561;2
3189;148687;2;74343;1
3190;148688;71;2094;14
3191;148702;3;49567;1
3192;148703;3;49567;2
3193;148705;2;74352;1
3194;148706;7;21243;5
3195;148711;2;74355;1
3196;148712;3;49570;2
3197;148714;3;49571;1
3198;148715;49207;3;1094
3199;149809;2;74904;1
3200;149810;3;49936;2
3201;149812;3;49937;1
3202;149813;6;24968;5
3203;149818;3;49939;1
3204;149819;3;49939;2
3205;149821;2;74910;1
3206;149822;16;9363;14
3207;149836;3;49945;1
3208;149837;3;49945;2
3209;149839;2;74919;1
3210;149840;7;21405;5
3211;149845;2;74922;1
3212;149846;3;49948;2
3213;149848;3;49949;1
3214;149849;48;3121;41
3215;149890;3;49963;1
3216;149891;3;49963;2
3217;149893;2;74946;1
3218;149894;17;8817;5
3219;149899;2;74949;1
3220;149900;3;49966;2
3221;149902;3;49967;1
3222;149903;17;8817;14
3223;149917;2;74958;1
3224;149918;3;49972;2
3225;149920;3;49973;1
3226;149921;6;24986;5
3227;149926;3;49975;1
3228;149927;3;49975;2
3229;149929;2;74964;1
3230;149930;3121;48;122
3231;150052;3;50017;1
3232;150053;3;50017;2
3233;150055;2;75027;1
3234;150056;11;13641;5
3235;150061;2;75030;1
3236;150062;3;50020;2
3237;150064;3;50021;1
3238;150065;33;4547;14
3239;150079;2;75039;1
3240;150080;3;50026;2
3241;150082;3;50027;1
3242;150083;6;25013;5
3243;150088;3;50029;1
3244;150089;3;50029;2
3245;150091;2;75045;1
3246;150092;4547;33;41
3247;150133;2;75066;1
3248;150134;3;50044;2
3249;150136;3;50045;1
3250;150137;6;25022;5
3251;150142;3;50047;1
3252;150143;3;50047;2
3253;150145;2;75072;1
3254;150146;12511;12;14
3255;150160;3;50053;1
3256;150161;3;50053;2
3257;150163;2;75081;1
3258;150164;50053;3;5
3259;150169;2;75084;1
3260;150170;3;50056;2
3261;150172;3;50057;1
3262;150173;3121;48;365
3263;150538;3;50179;1
3264;150539;3;50179;2
3265;150541;2;75270;1
3266;150542;19;7923;5
3267;150547;2;75273;1
3268;150548;3;50182;2
3269;150550;3;50183;1
3270;150551;19;7923;14
3271;150565;2;75282;1
3272;150566;3;50188;2
3273;150568;3;50189;1
3274;150569;6;25094;5
3275;150574;3;50191;1
3276;150575;3;50191;2
3277;150577;2;75288;1
3278;150578;57;2641;41
3279;150619;2;75309;1
3280;150620;3;50206;2
3281;150622;3;50207;1
3282;150623;6;25103;5
3283;150628;3;50209;1
3284;150629;3;50209;2
3285;150631;2;75315;1
3286;150632;26;5793;14
3287;150646;3;50215;1
3288;150647;3;50215;2
3289;150649;2;75324;1
3290;150650;11;13695;5
3291;150655;2;75327;1
3292;150656;3;50218;2
3293;150658;3;50219;1
3294;150659;139;1083;122
3295;150781;2;75390;1
3296;150782;3;50260;2
3297;150784;3;50261;1
3298;150785;6;25130;5
3299;150790;3;50263;1
3300;150791;3;50263;2
3301;150793;2;75396;1
3302;150794;15;10052;14
3303;150808;3;50269;1
3304;150809;3;50269;2
3305;150811;2;75405;1
3306;150812;17;8871;5
3307;150817;2;75408;1
3308;150818;3;50272;2
3309;150820;3;50273;1
3310;150821;42;3590;41
3311;150862;3;50287;1
3312;150863;3;50287;2
3313;150865;2;75432;1
3314;150866;50287;3;5
3315;150871;2;75435;1
3316;150872;3;50290;2
3317;150874;3;50291;1
3318;150875;50287;3;14
3319;150889;2;75444;1
3320;150890;3;50296;2
3321;150892;3;50297;1
3322;150893;6;25148;5
3323;150898;3;50299;1
3324;150899;3;50299;2
3325;150901;2;75450;1
3326;150902;49207;3;3281
3327;154183;2;77091;1
3328;154184;3;51394;2
3329;154186;3;51395;1
3330;154187;6;25697;5
3331;154192;3;51397;1
3332;154193;3;51397;2
3333;154195;2;77097;1
3334;154196;21;7342;14
3335;154210;3;51403;1
3336;154211;3;51403;2
3337;154213;2;77106;1
3338;154214;11;14019;5
3339;154219;2;77109;1
3340;154220;3;51406;2
3341;154222;3;51407;1
3342;154223;42;3671;41
3343;154264;3;51421;1
3344;154265;3;51421;2
3345;154267;2;77133;1
3346;154268;51421;3;5
3347;154273;2;77136;1
3348;154274;3;51424;2
3349;154276;3;51425;1
3350;154277;51421;3;14
3351;154291;2;77145;1
3352;154292;3;51430;2
3353;154294;3;51431;1
3354;154295;6;25715;5
3355;154300;3;51433;1
3356;154301;3;51433;2
3357;154303;2;77151;1
3358;154304;3671;42;122
3359;154426;3;51475;1
3360;154427;3;51475;2
3361;154429;2;77214;1
3362;154430;15;10295;5
3363;154435;2;77217;1
3364;154436;3;51478;2
3365;154438;3;51479;1
3366;154439;15;10295;14
3367;154453;2;77226;1
3368;154454;3;51484;2
3369;154456;3;51485;1
3370;154457;6;25742;5
3371;154462;3;51487;1
3372;154463;3;51487;2
3373;154465;2;77232;1
3374;154466;71;2175;41
3375;154507;2;77253;1
3376;154508;3;51502;2
3377;154510;3;51503;1
3378;154511;6;25751;5
3379;154516;3;51505;1
3380;154517;3;51505;2
3381;154519;2;77259;1
3382;154520;22;7023;14
3383;154534;3;51511;1
3384;154535;3;51511;2
3385;154537;2;77268;1
3386;154538;51511;3;5
3387;154543;2;77271;1
3388;154544;3;51514;2
3389;154546;3;51515;1
3390;154547;3671;42;365
3391;154912;3;51637;1
3392;154913;3;51637;2
3393;154915;2;77457;1
3394;154916;51637;3;5
3395;154921;2;77460;1
3396;154922;3;51640;2
3397;154924;3;51641;1
3398;154925;51637;3;14
3399;154939;2;77469;1
3400;154940;3;51646;2
3401;154942;3;51647;1
3402;154943;6;25823;5
3403;154948;3;51649;1
3404;154949;3;51649;2
3405;154951;2;77475;1
3406;154952;51637;3;41
3407;154993;2;77496;1
3408;154994;3;51664;2
3409;154996;3;51665;1
3410;154997;6;25832;5
3411;155002;3;51667;1
3412;155003;3;51667;2
3413;155005;2;77502;1
3414;155006;16;9687;14
3415;155020;3;51673;1
3416;155021;3;51673;2
3417;155023;2;77511;1
3418;155024;51673;3;5
3419;155029;2;77514;1
3420;155030;3;51676;2
3421;155032;3;51677;1
3422;155033;51637;3;122
3423;155155;2;77577;1
3424;155156;3;51718;2
3425;155158;3;51719;1
3426;155159;6;25859;5
3427;155164;3;51721;1
3428;155165;3;51721;2
3429;155167;2;77583;1
3430;155168;19;8166;14
3431;155182;3;51727;1
3432;155183;3;51727;2
3433;155185;2;77592;1
3434;155186;13;11937;5
3435;155191;2;77595;1
3436;155192;3;51730;2
3437;155194;3;51731;1
3438;155195;57;2722;41
3439;155236;3;51745;1
3440;155237;3;51745;2
3441;155239;2;77619;1
3442;155240;15;10349;5
3443;155245;2;77622;1
3444;155246;3;51748;2
3445;155248;3;51749;1
3446;155249;15;10349;14
3447;155263;2;77631;1
3448;155264;3;51754;2
3449;155266;3;51755;1
3450;155267;6;25877;5
3451;155272;3;51757;1
3452;155273;3;51757;2
3453;155275;2;77637;1
3454;155276;3671;42;1094
3455;156370;3;52123;1
3456;156371;3;52123;2
3457;156373;2;78186;1
3458;156374;47;3327;5
3459;156379;2;78189;1
3460;156380;3;52126;2
3461;156382;3;52127;1
3462;156383;47;3327;14
3463;156397;2;78198;1
3464;156398;3;52132;2
3465;156400;3;52133;1
3466;156401;6;26066;5
3467;156406;3;52135;1
3468;156407;3;52135;2
3469;156409;2;78204;1
3470;156410;47;3327;41
3471;156451;2;78225;1
3472;156452;3;52150;2
3473;156454;3;52151;1
3474;156455;6;26075;5
3475;156460;3;52153;1
3476;156461;3;52153;2
3477;156463;2;78231;1
3478;156464;15;10430;14
3479;156478;3;52159;1
3480;156479;3;52159;2
3481;156481;2;78240;1
3482;156482;43;3639;5
3483;156487;2;78243;1
3484;156488;3;52162;2
3485;156490;3;52163;1
3486;156491;141;1109;122
3487;156613;2;78306;1
3488;156614;3;52204;2
3489;156616;3;52205;1
3490;156617;6;26102;5
3491;156622;3;52207;1
3492;156623;3;52207;2
3493;156625;2;78312;1
3494;156626;31;5052;14
3495;156640;3;52213;1
3496;156641;3;52213;2
3497;156643;2;78321;1
3498;156644;7;22377;5
3499;156649;2;78324;1
3500;156650;3;52216;2
3501;156652;3;52217;1
3502;156653;62;2526;41
3503;156694;3;52231;1
3504;156695;3;52231;2
3505;156697;2;78348;1
3506;156698;19;8247;5
3507;156703;2;78351;1
3508;156704;3;52234;2
3509;156706;3;52235;1
3510;156707;19;8247;14
3511;156721;2;78360;1
3512;156722;3;52240;2
3513;156724;3;52241;1
3514;156725;6;26120;5
3515;156730;3;52243;1
3516;156731;3;52243;2
3517;156733;2;78366;1
3518;156734;1109;141;365
3519;157099;2;78549;1
3520;157100;3;52366;2
3521;157102;3;52367;1
3522;157103;6;26183;5
3523;157108;3;52369;1
3524;157109;3;52369;2
3525;157111;2;78555;1
3526;157112;26183;6;14
3527;157126;3;52375;1
3528;157127;3;52375;2
3529;157129;2;78564;1
3530;157130;15;10475;5
3531;157135;2;78567;1
3532;157136;3;52378;2
3533;157138;3;52379;1
3534;157139;26183;6;41
3535;157180;3;52393;1
3536;157181;3;52393;2
3537;157183;2;78591;1
3538;157184;11;14289;5
3539;157189;2;78594;1
3540;157190;3;52396;2
3541;157192;3;52397;1
3542;157193;33;4763;14
3543;157207;2;78603;1
3544;157208;3;52402;2
3545;157210;3;52403;1
3546;157211;6;26201;5
3547;157216;3;52405;1
3548;157217;3;52405;2
3549;157219;2;78609;1
3550;157220;26183;6;122
3551;157342;3;52447;1
3552;157343;3;52447;2
3553;157345;2;78672;1
3554;157346;179;879;5
3555;157351;2;78675;1
3556;157352;3;52450;2
3557;157354;3;52451;1
